,Name,Class,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),Fraction of Observation Time,MDP99,Start Time (MJD),Start Time (s),Asymmetry
0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0,0
1,4FGL J0538.8-4405,BLL,7.602368944218759e-05,10046.439331357758,620.5584002435508,66074400.0,132148800.0,218.5,0.2520184544405998,18731.477374957707,54683.00001157408,4724611201.0,-0.2036613272311213
2,4FGL J0538.8-4405,BLL,1.3463332311747814e-05,122.13935073217617,109.89711263196386,4536000.0,9072000.0,15.0,0.01730103806228374,27713.51032961793,56282.50001157408,4862808001.0,-0.13333333333333333
3,4FGL J0538.8-4405,BLL,2.6289917986035684e-06,7.155064079079472,21.459665490655787,1360800.0,2721600.0,4.5,0.005190311418685121,77734.47399062601,56968.50001157408,4922078401.0,0.0
4,4FGL J0538.8-4405,BLL,6.05391689403207e-06,29.291271500084765,49.416293928023876,2419200.0,4838400.0,8.0,0.00922722029988466,45009.707269024286,57500.50001157408,4968043201.0,0.0
5,4FGL J0538.8-4405,BLL,1.9642668998006843e-05,332.63681387984707,160.33717041825756,8467200.0,16934400.0,28.0,0.03229527104959631,25952.299436961137,58473.50001157408,5052110401.0,0.10714285714285714
6,4FGL J0538.8-4405,BLL,1.9488306176804435e-06,5.893263787865661,15.907715336192544,1512000.0,3024000.0,5.0,0.0057670126874279125,110536.67759149021,58697.50001157408,5071464001.0,-0.6
7,4FGL J0538.8-4405,BLL,1.2734932749198938e-06,1.5404174653431035,10.395140714739682,604800.0,1209600.0,2.0,0.002306805074971165,106983.12716685941,58753.50001157408,5076302401.0,0.0
8,4FGL J0538.8-4405,BLL,8.58691431320039e-06,109.06068130909553,70.09238631177315,6350400.0,12700800.0,21.0,0.02422145328719723,51412.42975007303,58795.50001157408,5079931201.0,-0.7619047619047619
9,4FGL J0538.8-4405,BLL,4.9714476103501626e-05,2224.981320907436,405.8042432049515,22377600.0,44755200.0,74.0,0.0853517877739331,16669.790611756616,59369.50001157408,5129524801.0,-0.14864864864864866
10,4FGL J0538.8-4405,BLL,1.3762410277827487e-05,199.76413766472155,112.33839567860726,7257600.0,14515200.0,24.0,0.02768166089965398,34293.17498471213,60055.50001157408,5188795201.0,0.08333333333333333
11,4FGL J0538.8-4405,BLL,5.887494477423221e-05,2278.884262365161,480.5783803916585,19353600.0,38707200.0,64.0,0.07381776239907728,13090.555624498944,60237.50001157408,5204520001.0,0.671875
12,4FGL J0538.8-4405,BLL,1.511308496334859e-05,196.51846639541438,123.36354492151298,6501600.0,13003200.0,21.5,0.024798154555940023,29557.210219976416,60699.50001157408,5244436801.0,-0.3953488372093023
13,4FGL J1800.6+7828,BLL,2.7802535134444243e-06,5.885240637259157,22.787080188112284,1058400.0,2116800.0,3.5,0.003972758229284903,64561.99584027561,54963.00001157408,4748803201.0,0.0
14,4FGL J1800.6+7828,BLL,1.9706777777288064e-06,2.383731839940764,16.151761819160047,604800.0,1209600.0,2.0,0.0022701475595913734,68853.78610583025,55057.50001157408,4756968001.0,0.0
15,4FGL J1800.6+7828,BLL,6.316821201044228e-06,15.281653849566197,51.77294464195625,1209600.0,2419200.0,4.0,0.004540295119182747,30378.29211769264,55183.50001157408,4767854401.0,0.5
16,4FGL J1800.6+7828,BLL,2.439379519458901e-06,2.9506734667374865,19.99326192750081,604800.0,1209600.0,2.0,0.0022701475595913734,55624.414332616245,55673.50001157408,4810190401.0,0.0
17,4FGL J1800.6+7828,BLL,6.082470330179181e-06,11.036034167077105,49.85219458778588,907200.0,1814400.0,3.0,0.00340522133938706,27322.171244456218,55883.50001157408,4828334401.0,0.0
18,4FGL J1800.6+7828,BLL,1.4380621621264262e-06,1.7394799913081251,11.786420786954627,604800.0,1209600.0,2.0,0.0022701475595913734,94354.84785607255,55911.50001157408,4830753601.0,0.0
19,4FGL J1800.6+7828,BLL,6.860089128958656e-06,12.446945715582585,56.22559249480578,907200.0,1814400.0,3.0,0.00340522133938706,24225.17791705239,55974.50001157408,4836196801.0,-0.3333333333333333
20,4FGL J1800.6+7828,BLL,2.151767087033616e-06,2.6027774684758618,17.63597777010989,604800.0,1209600.0,2.0,0.0022701475595913734,63059.2379158604,56317.50001157408,4865832001.0,0.0
21,4FGL J1800.6+7828,BLL,1.795979855811226e-05,92.32773242754351,147.1992996059667,2570400.0,5140800.0,8.5,0.009648127128263337,15575.539021731049,56846.00001157408,4911494401.0,-0.7058823529411765
22,4FGL J1800.6+7828,BLL,1.7256745945517115e-06,2.609219986962188,14.143704944345554,756000.0,1512000.0,2.5,0.0028376844494892167,87909.90482533383,56912.50001157408,4917240001.0,0.0
23,4FGL J1800.6+7828,BLL,8.856332456236377e-06,42.850478956254086,72.5868906835117,2419200.0,4838400.0,8.0,0.009080590238365494,30642.22140332064,56947.50001157408,4920264001.0,0.0
24,4FGL J1800.6+7828,BLL,1.3728700107766951e-05,83.03117825177452,112.52103044612684,3024000.0,6048000.0,10.0,0.011350737797956867,22100.45983368733,57073.50001157408,4931150401.0,-0.7
25,4FGL J1800.6+7828,BLL,1.4497797056696786e-05,52.609605959341295,118.82458289663148,1814400.0,3628800.0,6.0,0.00681044267877412,16211.02509312567,57248.50001157408,4946270401.0,-0.6666666666666666
26,4FGL J1800.6+7828,BLL,3.7922231830889463e-06,4.58707316226439,31.081228149302575,604800.0,1209600.0,2.0,0.0022701475595913734,35781.20124251367,57339.50001157408,4954132801.0,0.0
27,4FGL J1800.6+7828,BLL,3.41939225216728e-06,6.204145302332313,28.02548942675878,907200.0,1814400.0,3.0,0.00340522133938706,48600.536183028315,57836.50001157408,4997073601.0,0.0
28,4FGL J1800.6+7828,BLL,2.9613428227492333e-06,10.746120835192418,24.271296139062116,1814400.0,3628800.0,6.0,0.00681044267877412,79361.97947943411,58207.50001157408,5029128001.0,0.0
29,4FGL J1800.6+7828,BLL,2.062287663612416e-05,99.78172631622313,169.0260047669938,2419200.0,4838400.0,8.0,0.009080590238365494,13159.323678501118,58536.50001157408,5057553601.0,0.375
30,4FGL J1800.6+7828,BLL,2.8548196996287574e-06,6.9063798173418895,23.39822793262104,1209600.0,2419200.0,4.0,0.004540295119182747,67216.85053786654,58935.50001157408,5092027201.0,0.0
31,4FGL J1800.6+7828,BLL,0.00016753637235019105,6383.5378738359195,1373.1354830443431,19051200.0,38102400.0,63.0,0.07150964812712826,4545.686349826736,58970.50001157408,5095051201.0,0.4444444444444444
32,4FGL J1800.6+7828,BLL,8.563287344531946e-05,2227.002759968356,701.8508004759226,13003200.0,26006400.0,43.0,0.04880817253121453,7347.305182438009,59607.50001157408,5150088001.0,-0.6976744186046512
33,4FGL J1800.6+7828,BLL,1.501976035998712e-06,1.8167902131440419,12.310261710819278,604800.0,1209600.0,2.0,0.0022701475595913734,90339.7870699263,60027.50001157408,5186376001.0,0.0
34,4FGL J1800.6+7828,BLL,6.497910510349037e-06,15.71974510663639,53.257160592906104,1209600.0,2419200.0,4.0,0.004540295119182747,29531.70209406348,60048.50001157408,5188190401.0,0.0
35,4FGL J1800.6+7828,BLL,5.233481038908987e-05,474.7813998498233,428.93840982450445,4536000.0,9072000.0,15.0,0.0170261066969353,7100.65081565663,60090.50001157408,5191819201.0,-0.4666666666666667
36,4FGL J1800.6+7828,BLL,1.9834605525032636e-05,143.95163305847686,162.56530003932977,3628800.0,7257600.0,12.0,0.01362088535754824,16757.12200416599,60216.50001157408,5202705601.0,-0.6666666666666666
