,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV)
0,0,0,0,0,0.0,0,0.0,0,0.0,,0,0,0
1,4FGL J0001.5+2113,FSRQ,3.816979727374914e-06,188.14351113798233,685.7264817709491,6161400.0,49291200.0,55208.00001157408,0.0930365296803653,5176.652157845141,0.0,5.303845714759447e-06,8.090758245652706e-06
2,4FGL J0001.5+2113,FSRQ,3.869948747981882e-06,322.99521038356306,1177.2203458175745,10432800.0,83462400.0,55831.00001157408,0.15753424657534246,3923.7670892733795,0.967391304347826,5.303845714759447e-06,7.626217102361642e-06
3,4FGL J0001.5+2113,FSRQ,6.2325936724884485e-06,7.538945306242027,27.477187014552896,151200.0,1209600.0,56814.50001157408,0.00228310502283105,20238.537295655336,0.0,5.303845714759447e-06,6.2325936724884485e-06
4,4FGL J0001.5+2113,FSRQ,7.188108834020864e-06,426.0420858359502,1552.7951978762883,7408800.0,59270400.0,56870.50001157408,0.11187214611872145,2506.924764095618,0.9795918367346939,5.303845714759447e-06,3.46083151751843e-05
5,4FGL J0001.5+2113,FSRQ,6.43161767211413e-06,89.46637446617639,326.07801262144204,1738800.0,13910400.0,57570.50001157408,0.026255707762557076,5783.357720489577,-0.8913043478260869,5.303845714759447e-06,1.2426475583035973e-05
6,4FGL J0001.5+2113,FSRQ,7.948115244873783e-06,370.1405477076741,1349.05091334354,5821200.0,46569600.0,57801.50001157408,0.08789954337899543,2557.7864072573716,0.987012987012987,5.303845714759447e-06,1.9975269161515773e-05
7,4FGL J0001.5+2113,FSRQ,4.138476189347692e-06,354.167481503424,1290.8338936595503,10697400.0,85579200.0,58393.00001157408,0.1615296803652968,3623.522780971853,-0.8127208480565371,5.303845714759447e-06,1.3742675489027323e-05
8,4FGL J0001.5+2113,FSRQ,5.539169236721682e-06,40.20107465243128,146.52081976191943,907200.0,7257600.0,60650.50001157408,0.0136986301369863,9296.58162488782,0.6666666666666666,5.303845714759447e-06,1.0607022771812637e-05
9,4FGL J0003.3-1928,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333,-3333
10,4FGL J0004.3+4614,FSRQ,7.519352279418712e-06,661.6909696251996,2619.1150424592147,10999800.0,87998400.0,59376.50001157408,0.17787286063569682,1811.0296260162372,0.0,6.954892419348258e-06,9.839683508990997e-06
11,4FGL J0004.4-4737,FSRQ,3.993017834198519e-06,79.69424714206772,315.9799038634559,2494800.0,19958400.0,59537.50001157408,0.0375,7148.615585733586,0.6666666666666666,3.096546530376466e-06,9.457317616047327e-06
12,4FGL J0004.4-4001,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333,-3333
13,4FGL J0005.9+3824,FSRQ,9.115032559497898e-07,34.17918449030284,116.00837882715823,4687200.0,37497600.0,54910.50001157408,0.07276995305164319,26687.555563135295,0.0,7.963855203762628e-07,1.7138269855960145e-06
14,4FGL J0005.9+3824,FSRQ,1.082939950318641e-06,16.701533089794207,56.68706865211687,1927800.0,15422400.0,57990.50001157408,0.02992957746478873,35025.90866201955,0.0,7.963855203762628e-07,1.4654462630458677e-06
